word,semantic_class,gradability,stage_vs_individual,notes
jó,evaluation,gradable,individual,
rossz,evaluation,gradable,individual,
helyes,evaluation,non-gradable,stage,
hibás,evaluation,non-gradable,stage,
megfelelő,evaluation,gradable,stage,
biztos,epistemic,non-gradable,stage,
valószínű,epistemic,gradable,stage,
nyilvánvaló,epistemic,gradable,stage,
kész,aspectual,non-gradable,stage,
befejezett,aspectual,non-gradable,stage,
folyamatban lévő,aspectual,non-gradable,stage,
más,comparison,gradable,individual,
azonos,comparison,gradable,individual,
hasonló,comparison,gradable,individual,
nagy,dimension,gradable,individual,
kicsi,dimension,gradable,individual,
új,age,gradable,individual,
régi,age,gradable,individual,
