lemma,form,case,number,semantic_class,countability,animacy,harmony,role
ember,ember,NOM,SG,human,countable,animate,front_unrounded,controlled
ember,embert,ACC,SG,human,countable,animate,front_unrounded,controlled
ember,embernek,DAT,SG,human,countable,animate,front_unrounded,controlled
ember,emberben,INE,SG,human,countable,animate,front_unrounded,controlled
ember,emberbe,ILL,SG,human,countable,animate,front_unrounded,controlled
ember,emberből,ELA,SG,human,countable,animate,front_unrounded,controlled
ember,embernél,ADE,SG,human,countable,animate,front_unrounded,controlled
ember,emberhez,ALL,SG,human,countable,animate,front_unrounded,controlled
ember,embertől,ABL,SG,human,countable,animate,front_unrounded,controlled
ember,emberen,SUP,SG,human,countable,animate,front_unrounded,controlled
ember,emberre,SUB,SG,human,countable,animate,front_unrounded,controlled
ember,emberről,DEL,SG,human,countable,animate,front_unrounded,controlled
ember,emberrel,INS,SG,human,countable,animate,front_unrounded,controlled
ember,emberig,TER,SG,human,countable,animate,front_unrounded,controlled
ember,emberért,CAU_FIN,SG,human,countable,animate,front_unrounded,controlled
ember,emberként,ESS_FOR,SG,human,countable,animate,front_unrounded,controlled
ember,emberré,TRA,SG,human,countable,animate,front_unrounded,controlled
személy,személy,NOM,SG,human,countable,animate,front_unrounded,filler
személy,személyt,ACC,SG,human,countable,animate,front_unrounded,filler
személy,személynek,DAT,SG,human,countable,animate,front_unrounded,filler
személy,személyben,INE,SG,human,countable,animate,front_unrounded,filler
személy,személybe,ILL,SG,human,countable,animate,front_unrounded,filler
személy,személyből,ELA,SG,human,countable,animate,front_unrounded,filler
személy,személynél,ADE,SG,human,countable,animate,front_unrounded,filler
személy,személyhez,ALL,SG,human,countable,animate,front_unrounded,filler
személy,személytől,ABL,SG,human,countable,animate,front_unrounded,filler
személy,személyen,SUP,SG,human,countable,animate,front_unrounded,filler
személy,személyre,SUB,SG,human,countable,animate,front_unrounded,filler
személy,személyről,DEL,SG,human,countable,animate,front_unrounded,filler
személy,személlyel,INS,SG,human,countable,animate,front_unrounded,filler
személy,személyig,TER,SG,human,countable,animate,front_unrounded,filler
személy,személyért,CAU_FIN,SG,human,countable,animate,front_unrounded,filler
