marker,case,harmony_pattern,morphophonology,concatenable_directly
,NOM,invariant,null_suffix,true
t,ACC,invariant,linking_vowel_required,false
at,ACC,back,linking_vowel,false
ot,ACC,back,linking_vowel,false
et,ACC,front_unrounded,linking_vowel,false
öt,ACC,front_rounded,linking_vowel,false
nak,DAT,back,none,true
nek,DAT,front,none,true
ban,INE,back,none,true
ben,INE,front,none,true
ba,ILL,back,none,true
be,ILL,front,none,true
ból,ELA,back,none,true
ből,ELA,front,none,true
nál,ADE,back,none,true
nél,ADE,front,none,true
hoz,ALL,back,none,true
hez,ALL,front_unrounded,none,true
höz,ALL,front_rounded,none,true
tól,ABL,back,none,true
től,ABL,front,none,true
on,SUP,back,post_vocalic_n,true
en,SUP,front_unrounded,post_vocalic_n,true
ön,SUP,front_rounded,post_vocalic_n,true
n,SUP,invariant,post_vocalic_allomorph,true
ra,SUB,back,none,true
re,SUB,front,none,true
ról,DEL,back,none,true
ről,DEL,front,none,true
val,INS,back,v_assimilates_to_stem_final_consonant,false
vel,INS,front,v_assimilates_to_stem_final_consonant,false
ig,TER,invariant,none,true
ért,CAU_FIN,invariant,none,true
ként,ESS_FOR,invariant,none,true
vá,TRA,back,v_assimilates_to_stem_final_consonant,false
vé,TRA,front,v_assimilates_to_stem_final_consonant,false
kor,TEMP,invariant,lexically_restricted_to_temporal_nouns,true
