lemma,form,separable,aspectual_effect,stage1_manipulated
meg,meg,true,lexically_variable,false
el,el,true,lexically_variable,false
ki,ki,true,lexically_variable,false
be,be,true,lexically_variable,false
fel,fel,true,lexically_variable,false
le,le,true,lexically_variable,false
át,át,true,lexically_variable,false
vissza,vissza,true,lexically_variable,false
oda,oda,true,lexically_variable,false
ide,ide,true,lexically_variable,false
össze,össze,true,lexically_variable,false
szét,szét,true,lexically_variable,false
rá,rá,true,lexically_variable,false
